19:33:59.527  CMBT   | Killed Py6Jl	 Ship_Race3_M_T2_Pirate|0000000248;	 killer Feresey|0000000204 Weapon_Plasmagun_Heavy_T5_Pirate 
19:44:55.747  CMBT   | Killed SwarmPack2(georgeatg)|0000001043;	 killer georgeatg|0000001043 (suicide) <FriendlyFire>
19:44:55.747  CMBT   | Killed SwarmPack2(georgeatg)|0000001042;	 killer georgeatg|0000001042 (suicide) <FriendlyFire>
19:44:55.748  CMBT   | Killed georgeatg	 Ship_Race5_H_OVERSEER_Rank14_11|0000000862;	 killer AlienCruiser_t5|0000001149 (crash) 
19:45:03.818  CMBT   | Killed Turret_CruiserAlien_T5R|0000001381;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:45:06.853  CMBT   | Killed RaptorBLR	 Ship_Race2_H_T5_Relic|0000000524;	 killer Alien_Destroyer_Life_02_T5|0000001154  
19:45:14.892  CMBT   | Killed Turret_CruiserAlien_T5R|0000001186;	 killer Feresey|0000000766 Weapon_PlasmaWebLaser_T5_Epic 
19:45:14.901  CMBT   | Killed hurh54	 Ship_Race3_M_T2_Pirate|0000000440;	 killer Alien_Destroyer_Life_01_T5|0000001153  
19:45:18.035  CMBT   | Killed Alien_Destroyer_Life_01_T5|0000001153;	 killer Py6Jl|0000000395 Weapon_OrbGun_T5_Epic 
19:45:20.432  CMBT   | Killed Alien_Destroyer_Hearth_T5|0000001157;	 killer Py6Jl|0000000395 Weapon_OrbGun_T5_Epic 
19:45:22.790  CMBT   | Killed Cruiser_Torpedo_RW|0000029774;	 killer tuman|0000000824 Weapon_Laser_Heavy_T5_Rel 
19:45:24.102  CMBT   | Killed Cruiser_Torpedo_RW|0000030582;	 killer Feresey|0000000766 Weapon_PlasmaWebLaser_T5_Epic 
19:45:27.619  CMBT   | Killed Cruiser_Torpedo_RW|0000030721;	 killer tuman|0000000824 Weapon_Laser_Heavy_T5_Rel 
19:45:28.297  CMBT   | Killed Cruiser_Torpedo_RW|0000030931;	 killer Feresey|0000000766 Weapon_PlasmaWebLaser_T5_Epic 
19:45:29.372  CMBT   | Killed Cruiser_Torpedo_RW|0000031079;	 killer Feresey|0000000766 Weapon_PlasmaWebLaser_T5_Epic 
19:45:30.274  CMBT   | Killed Cruiser_Torpedo_RW|0000031244;	 killer Feresey|0000000766 Weapon_PlasmaWebLaser_T5_Epic 
19:45:32.518  CMBT   | Killed Cruiser_Torpedo_RW|0000031439;	 killer Feresey|0000000766 Weapon_PlasmaWebLaser_T5_Epic 
19:45:33.987  CMBT   | Killed Cruiser_Torpedo_RW|0000031595;	 killer Feresey|0000000766 Weapon_PlasmaWebLaser_T5_Epic 
19:45:37.729  CMBT   | Killed Cruiser_Shield_RW_t5|0000001419;	 killer Jigolee|0000030789 Weapon_OrbGun_T5_Epic 
19:45:39.930  CMBT   | Killed RW_BlackHoleHealth_T5|0000001182;	 killer KANDIS|0000000609 Weapon_PlasmaWebLaser_T5_Epic 
19:45:40.823  CMBT   | Killed Alien_Destroyer_Life_02_T5|0000001154;	 killer Py6Jl|0000000395 Weapon_OrbGun_T5_Epic 
19:45:49.512  CMBT   | Killed Cruiser_Shield_RW_t5|0000001419;	 killer Py6Jl|0000000395 Weapon_OrbGun_T5_Epic 
19:45:50.520  CMBT   | Killed KANDIS	 Ship_Race3_H_T5_Uniq|0000000609;	 killer Megabomb_RW_BlackHole|0000000155  
19:45:51.379  CMBT   | Killed ModuleEngine_Race3_Huge_Uniq_Mk6(Destoni)|0000000709;	 killer AlienCruiser_t5|0000001149 Weapon_LaserGunBig_RW 
19:45:52.431  CMBT   | Killed hurh54	 Ship_Race3_M_T2_Pirate|0000031320;	 killer AlienCruiser_t5|0000001149 RW_SpaceMissile_Spam 
19:45:56.315  CMBT   | Killed Module_TurretPlasma_T4_Rare(georgeatg)|0000027788;	 killer Turret_CruiserAlien_T5R|0000001331 Turret_CruiserAlien_T5R 
19:45:56.315  CMBT   | Killed ModuleCapacitor_race5_h_t3_capacitor_Mk6(georgeatg)|0000027805;	 killer Turret_CruiserAlien_T5R|0000001331 Turret_CruiserAlien_T5R 
19:45:56.462  CMBT   | Killed Module_GravityAnomaly_T4_Mk1(georgeatg)|0000027787;	 killer Turret_CruiserAlien_T5R|0000001331 Turret_CruiserAlien_T5R 
19:45:56.873  CMBT   | Killed SwarmPack2(georgeatg)|0000027835;	 killer georgeatg|0000027835 (suicide) <FriendlyFire>
19:45:56.874  CMBT   | Killed SwarmPack2(georgeatg)|0000027833;	 killer georgeatg|0000027833 (suicide) <FriendlyFire>
19:45:56.874  CMBT   | Killed georgeatg	 Ship_Race5_H_OVERSEER_Rank14_11|0000027763;	 killer Turret_CruiserAlien_T5R|0000001331 Module_TurretThermo_T5_Mk3 
19:45:56.874  CMBT   | Killed Module_TurretThermo_T5_Mk3(georgeatg)|0000027789;	 killer Turret_CruiserAlien_T5R|0000001331 Turret_CruiserAlien_T5R 
19:46:00.579  CMBT   | Killed Alien_Destroyer_SmallHearth_T5|0000001159;	 killer Jigolee|0000030789 Weapon_OrbGun_T5_Epic 
19:46:06.752  CMBT   | Killed Turret_CruiserAlien_T5R|0000001306;	 killer Feresey|0000000766 Weapon_PlasmaWebLaser_T5_Epic 
19:46:08.365  CMBT   | Killed tuman	 Ship_Race3_M_T5_Uniq|0000000824;	 killer Turret_CruiserAlien_T5R|0000001331 Turret_CruiserAlien_T5R 
19:46:11.700  CMBT   | Killed Turret_CruiserAlien_T5R|0000001321;	 killer Feresey|0000000766 Weapon_PlasmaWebLaser_T5_Epic 
19:46:16.970  CMBT   | Killed Turret_CruiserAlien_T5R|0000001316;	 killer Feresey|0000000766 Weapon_PlasmaWebLaser_T5_Epic 
19:46:16.971  CMBT   | Killed HealBot_Armor(Therm0Nuclear)|0000039068;	 killer Therm0Nuclear|0000039068 (suicide) <FriendlyFire>
19:46:16.971  CMBT   | Killed Therm0Nuclear	 Ship_Race3_L_T5_Craft|0000000728;	 killer Turret_CruiserAlien_T5R|0000001331 Turret_CruiserAlien_T5R 
19:46:17.684  CMBT   | Killed Turret_CruiserAlien_T5R|0000001201;	 killer KANDIS|0000038800 Weapon_PlasmaWebLaser_T5_Epic 
19:46:19.995  CMBT   | Killed Turret_CruiserAlien_T5R|0000001341;	 killer KANDIS|0000038800 Weapon_PlasmaWebLaser_T5_Epic 
19:46:23.251  CMBT   | Killed Turret_CruiserAlien_T5R|0000001311;	 killer KANDIS|0000038800 Weapon_PlasmaWebLaser_T5_Epic 
19:46:25.996  CMBT   | Killed Cruiser_Torpedo_RW|0000040283;	 killer KANDIS|0000038800 Weapon_PlasmaWebLaser_T5_Epic 
19:46:27.296  CMBT   | Killed Cruiser_Torpedo_RW|0000040416;	 killer KANDIS|0000038800 Weapon_PlasmaWebLaser_T5_Epic 
19:46:29.807  CMBT   | Killed Cruiser_Torpedo_RW|0000040589;	 killer KANDIS|0000038800 Weapon_PlasmaWebLaser_T5_Epic 
19:46:30.485  CMBT   | Killed Cruiser_Torpedo_RW|0000040776;	 killer KANDIS|0000038800 Weapon_PlasmaWebLaser_T5_Epic 
19:46:32.683  CMBT   | Killed Cruiser_Torpedo_RW|0000040912;	 killer KANDIS|0000038800 Weapon_PlasmaWebLaser_T5_Epic 
19:46:33.739  CMBT   | Killed Cruiser_Torpedo_RW|0000041547;	 killer KANDIS|0000038800 Weapon_PlasmaWebLaser_T5_Epic 
19:46:35.096  CMBT   | Killed Alien_Destroyer_Life_01_T5|0000001153;	 killer Jigolee|0000030789 Weapon_OrbGun_T5_Epic 
19:46:37.853  CMBT   | Killed Cruiser_Torpedo_RW|0000041677;	 killer KANDIS|0000038800 Weapon_PlasmaWebLaser_T5_Epic 
19:46:38.576  CMBT   | Killed Cruiser_Shield_RW_t5|0000001419;	 killer KANDIS|0000038800 Weapon_PlasmaWebLaser_T5_Epic 
19:46:38.865  CMBT   | Killed Alien_Destroyer_Hearth_T5|0000001157;	 killer Py6Jl|0000000395 Weapon_OrbGun_T5_Epic 
19:46:40.680  CMBT   | Killed Cruiser_Shield_RW_t5|0000001419;	 killer Py6Jl|0000000395 Weapon_OrbGun_T5_Epic 
19:46:43.471  CMBT   | Killed Turret_CruiserAlien_T5R|0000001341;	 killer KANDIS|0000038800 Weapon_PlasmaWebLaser_T5_Epic 
19:46:46.497  CMBT   | Killed Turret_CruiserAlien_T5R|0000001346;	 killer KANDIS|0000038800 Weapon_PlasmaWebLaser_T5_Epic 
19:46:50.652  CMBT   | Killed Alien_Destroyer_Life_02_T5|0000001154;	 killer Py6Jl|0000000395 Weapon_OrbGun_T5_Epic 
19:46:52.274  CMBT   | Killed Alien_Destroyer_SmallHearth_T5|0000001159;	 killer Py6Jl|0000000395 Weapon_OrbGun_T5_Epic 
19:46:56.316  CMBT   | Killed Turret_CruiserAlien_T5R|0000001306;	 killer KANDIS|0000038800 Weapon_PlasmaWebLaser_T5_Epic 
19:46:59.977  CMBT   | Killed xxxStretchxxx	 Ship_Race1_M_T5_Hadrian|0000009214;	 killer AlienCruiser_t5|0000001149 RW_SpaceMissile_Spam 
19:47:02.891  CMBT   | Killed Module_CookCannon_T5_Epic(Jigolee)|0000030804;	 killer Turret_CruiserAlien_T5R|0000001186 Turret_CruiserAlien_T5R 
19:47:05.476  CMBT   | Killed Alien_Destroyer_Life_01_T5|0000001153;	 killer Py6Jl|0000000395 Weapon_OrbGun_T5_Epic 
19:47:06.151  CMBT   | Killed Therm0Nuclear	 Ship_Race3_L_T5_Craft|0000040935;	 killer AlienCruiser_t5|0000001149 RW_SpaceMissile_Spam 
19:47:06.378  CMBT   | Killed Alien_Destroyer_Hearth_T5|0000001157;	 killer Jigolee|0000030789 Weapon_OrbGun_T5_Epic 
19:47:06.867  CMBT   | Killed Feresey	 Ship_Race3_H_T5_Uniq_small|0000043684;	 killer n/a|-000000001 Turret_CruiserAlien_T5R 
19:55:56.605  CMBT   | Killed Feresey	 Ship_Race1_M_T5_Faction2|0000000275;	 killer Py6Jl|0000000327 Weapon_Railgun_Basic_T5_Rel 
19:56:02.443  CMBT   | Killed Py6Jl	 Ship_Race1_M_T5_Faction1|0000000327;	 killer Feresey|-000000001 (crash) 
19:57:06.467  CMBT   | Killed Feresey	 Ship_Race1_M_T5|0000001734;	 killer Py6Jl|0000001794 Weapon_Railgun_Basic_T5_Rel 
19:57:13.135  CMBT   | Killed Py6Jl	 Ship_Race1_M_T5_Faction1|0000001794;	 killer Feresey|-000000001 (crash) 
19:59:27.634  CMBT   | Killed Feresey	 Ship_Race1_M_T5_Faction2|0000002945;	 killer Py6Jl|0000003005 Weapon_Railgun_Basic_T5_Rel 
19:59:35.372  CMBT   | Killed Py6Jl	 Ship_Race1_M_T5_Faction1|0000003005;	 killer Feresey|-000000001 (crash) 
20:09:07.645  CMBT   | Killed GuardDrone|0000000264;	 killer PromptoArgentum|0000000588 Module_Disintegrator_T5_Base 
20:09:07.755  CMBT   | Killed GuardDrone|0000000257;	 killer Ineed2beStronger|0000000553 Weapon_Laser_Heavy_T5_Rel 
20:09:11.070  CMBT   | Killed GuardDrone|0000000250;	 killer PromptoArgentum|0000000588 Module_Disintegrator_T5_Base 
20:09:13.085  CMBT   | Killed GuardDrone|0000000243;	 killer Ineed2beStronger|0000000553 Weapon_Laser_Heavy_T5_Rel 
20:10:04.915  CMBT   | Killed BlacKScorpioN	 Ship_Race2_M_T4_Faction2|0000000778;	 killer Ineed2beStronger|0000000553 Weapon_Laser_Heavy_T5_Rel 
20:10:18.048  CMBT   | Killed HealBot_Armor(Rentd)|0000005098;	 killer Ineed2beStronger|0000000553 Weapon_Laser_Heavy_T5_Rel 
20:10:47.029  CMBT   | Killed evergreen	 Ship_Race2_S_T5_Faction1|0000000752;	 killer Feresey|0000000421 Weapon_Railgun_Sniper_T5_Rel 
20:11:13.883  CMBT   | Killed GuardDrone|0000000185;	 killer Feresey|0000000421 Weapon_Railgun_Sniper_T5_Rel 
20:11:14.385  CMBT   | Killed HealBot_Armor(Rentd)|0000015092;	 killer PromptoArgentum|0000000588 Module_Disintegrator_T5_Base 
20:11:46.152  CMBT   | Killed HealBot(MaxVerzila)|0000017842;	 killer TENEVOY|0000000493 SpaceMissile_Ion_T5_Mk3 
20:12:06.470  CMBT   | Killed GuardDrone|0000000199;	 killer Ineed2beStronger|0000000553 Weapon_Laser_Heavy_T5_Rel 
20:12:06.581  CMBT   | Killed HealBot_Armor(Rentd)|0000020019;	 killer PromptoArgentum|0000000588 Module_Disintegrator_T5_Base 
20:12:09.611  CMBT   | Killed HealBot(MaxVerzila)|0000023151;	 killer Py6Jl|0000000461 Module_GuidedMissile_T5_Base 
20:12:13.206  CMBT   | Killed GuardDrone|0000000192;	 killer Ineed2beStronger|0000000553 Weapon_Laser_Heavy_T5_Rel 
20:12:13.767  CMBT   | Killed HealBot_Armor(MaxVerzila)|0000022825;	 killer Feresey|0000000421 Weapon_Railgun_Sniper_T5_Rel 
20:12:16.402  CMBT   | Killed GuardDrone|0000000206;	 killer Ineed2beStronger|0000000553 Weapon_Laser_Heavy_T5_Rel 
20:12:27.855  CMBT   | Killed MaxVerzila	 Ship_Race1_L_T4_Faction1|0000000652;	 killer TENEVOY|0000000493 Weapon_Railgun_Sniper_T5_Rel 
20:12:33.357  CMBT   | Killed HealBot_Armor(Rentd)|0000024456;	 killer Rentd|0000024456 (suicide) <FriendlyFire>
20:12:33.360  CMBT   | Killed Rentd	 Ship_Race1_L_T5_Faction1|0000000622;	 killer Ineed2beStronger|0000000553 Weapon_Laser_Heavy_T5_Rel 
20:12:41.277  CMBT   | Killed PromptoArgentum	 Ship_Race1_L_T5_Faction2|0000000588;	 killer BlackError|0000000712 Weapon_Railgun_Basic_T5_Rel 
20:12:57.048  CMBT   | Killed Ineed2beStronger	 Ship_Race1_M_T5_Faction2|0000000553;	 killer tryb|0000000682 Weapon_Railgun_Basic_T5_Rel 
20:13:11.871  CMBT   | Killed Feresey	 Ship_Race1_M_T5|0000000421;	 killer BlackError|0000000712 SpaceMissile_EMP_T5_Mk3 
20:13:12.712  CMBT   | Killed tryb	 Ship_Race1_M_T5_Faction1|0000000682;	 killer Py6Jl|0000000461 Weapon_Laser_Basic_T5_Rel 
20:13:38.376  CMBT   | Killed evergreen	 Ship_Race1_S_T5_Faction1|0000013996;	 killer PromptoArgentum|0000028463 Weapon_Railgun_Basic_T5_Rel 
20:13:51.230  CMBT   | Killed HealBot(MaxVerzila)|0000034321;	 killer Ineed2beStronger|0000030810 Weapon_Laser_Heavy_T5_Rel 
20:14:09.421  CMBT   | Killed HealBot_Armor(MaxVerzila)|0000036377;	 killer Py6Jl|0000000461 Module_GuidedMissile_T5_Base 
20:14:16.611  CMBT   | Killed PromptoArgentum	 Ship_Race1_M_T5|0000028463;	 killer BlacKScorpioN|0000007587 Weapon_Railgun_Basic_T5_Rel 
20:14:21.493  CMBT   | Killed tryb	 Ship_Race1_M_T5|0000032497;	 killer TENEVOY|0000000493 Weapon_Railgun_Sniper_T5_Rel 
20:14:28.903  CMBT   | Killed MaxVerzila	 Ship_Race1_L_T5_Faction1|0000027370;	 killer Feresey|0000032376 Weapon_Cold_Ray_T5_Rel 
20:14:46.741  CMBT   | Killed Py6Jl	 Ship_Race2_L_T5_Faction1|0000000461;	 killer BlacKScorpioN|0000007587 Weapon_Railgun_Basic_T5_Rel 
20:14:52.186  CMBT   | Killed BlacKScorpioN	 Ship_Race1_M_T5_Faction2|0000007587;	 killer Ineed2beStronger|0000030810 Weapon_Laser_Heavy_T5_Rel 
20:14:52.909  CMBT   | Killed BlackError	 Ship_Race1_M_T5|0000000712;	 killer Feresey|0000032376 Weapon_Cold_Ray_T5_Rel 
20:15:02.002  CMBT   | Killed PromptoArgentum	 Ship_Race1_S_T4_Faction2|0000040885;	 killer evergreen|0000035394 Weapon_Railgun_Autofire_T5_Rel 
20:15:24.805  CMBT   | Killed evergreen	 Ship_Race2_S_T5_Faction2|0000035394;	 killer Py6Jl|0000044470 Weapon_Railgun_Basic_T5_Rel 
20:15:34.124  CMBT   | Killed HealBot(MaxVerzila)|0000046179;	 killer PromptoArgentum|0000044938 Module_IonRay_T5_Rel 
20:15:54.229  CMBT   | Killed GuardDrone|0000000228;	 killer PromptoArgentum|0000044938 Weapon_Plasmagun_Basic_T5_Rel 
20:16:03.608  CMBT   | Killed GuardDrone|0000000235;	 killer PromptoArgentum|0000044938 Weapon_Plasmagun_Basic_T5_Rel 
20:16:06.810  CMBT   | Killed GuardDrone|0000000221;	 killer Ineed2beStronger|0000030810 Weapon_Laser_Heavy_T5_Rel 
20:16:09.222  CMBT   | Killed GuardDrone|0000000214;	 killer Ineed2beStronger|0000030810 Weapon_Laser_Heavy_T5_Rel 
20:17:09.851  CMBT   | Killed GuardDrone|0000000163;	 killer MaxVerzila|0000042706 SpaceMissile_Torpedo_T4_Mk3 
20:17:41.958  CMBT   | Killed evergreen	 Ship_Race1_M_T5|0000047073;	 killer TENEVOY|0000000493 Weapon_Railgun_Sniper_T5_Rel 
20:17:52.115  CMBT   | Killed BlacKScorpioN	 Ship_Race2_M_T5_Faction2|0000044541;	 killer PromptoArgentum|0000044938 Weapon_Plasmagun_Basic_T5_Rel 
20:17:55.934  CMBT   | Killed BlackError	 Ship_Race1_M_T5_Faction2|0000044595;	 killer Py6Jl|0000044470 Weapon_Railgun_Basic_T5_Rel 
20:18:14.897  CMBT   | Killed HealBot(MaxVerzila)|0000063949;	 killer MaxVerzila|0000063949 (suicide) <FriendlyFire>
20:18:14.899  CMBT   | Killed MaxVerzila	 Ship_Race3_L_T4_Faction1|0000042706;	 killer Feresey|0000032376 Weapon_Cold_Ray_T5_Rel 
20:21:48.822  CMBT   | Killed GuardDrone|0000000151;	 killer YanFei|0000000551 Weapon_Railgun_Basic_T5_Rel 
20:21:52.242  CMBT   | Killed GuardDrone|0000000144;	 killer YanFei|0000000551 Weapon_Railgun_Basic_T5_Rel 
20:21:55.106  CMBT   | Killed GuardDrone|0000000130;	 killer YanFei|0000000551 Weapon_Railgun_Basic_T5_Rel 
20:21:58.913  CMBT   | Killed GuardDrone|0000000137;	 killer Sumelru|0000000615 Weapon_Railgun_Sniper_T5_Rel 
20:22:09.176  CMBT   | Killed GuardDrone|0000000231;	 killer Gladiator|0000000521 SpaceMissile_Torpedo_T4_Mk3 
20:22:09.177  CMBT   | Killed GuardDrone|0000000224;	 killer Gladiator|0000000521 SpaceMissile_Torpedo_T4_Mk3 
20:22:09.182  CMBT   | Killed GuardDrone|0000000217;	 killer Gladiator|0000000521 SpaceMissile_Torpedo_T4_Mk3 
20:22:34.043  CMBT   | Killed HealBot(MaxVerzila)|0000005541;	 killer TENEVOY|0000000491 Weapon_Railgun_Basic_T5_Rel 
20:22:53.852  CMBT   | Killed HealBot_Armor(MaxVerzila)|0000007732;	 killer Feresey|0000000419 Weapon_Railgun_Sniper_T5_Rel 
20:23:09.500  CMBT   | Killed HealBot(MaxVerzila)|0000011050;	 killer Py6Jl|0000000459 SpaceMissile_Ion_T5_Mk3 
20:23:42.892  CMBT   | Killed HealBot_Armor(MaxVerzila)|0000013932;	 killer Feresey|0000000419 Weapon_Railgun_Sniper_T5_Rel 
